Title,Abstract,Link,Disease_Verbs
"Management of glioblastoma, present and future",Glioblastomas are the most common malignant brain tumor and despite extensive research  have a dismal prognosis. This review focuses on the current treatment paradigms of,https://www.sciencedirect.com/science/article/pii/S1878875019319503,['have']
Lomustine and bevacizumab in progressive glioblastoma,Background Bevacizumab is approved for the treatment of patients with progressive glioblastoma  on the basis of uncontrolled data. Data from a phase 2 trial suggested that the addition,https://www.nejm.org/doi/full/10.1056/NEJMoa1707358,['approved']
Life beyond a diagnosis of glioblastoma: a systematic review of the literature,"glioblastoma is 12–14 months with less than 10% of patients surviving at least 2 years from  diagnosis. Patients diagnosed with glioblastoma  -term survivors of glioblastoma, a small but",https://link.springer.com/article/10.1007/s11764-017-0602-7,"['diagnosed', 'surviving']"
Overcoming therapeutic resistance in glioblastoma: the way forward,Glioblastoma is the most common and lethal primary  of tumor heterogeneity in glioblastoma  and provide new insights into  both need to be targeted to prevent glioblastoma recurrence.,https://www.jci.org/articles/view/89587,"['need', 'targeted', 'provide', 'prevent']"
Glioblastoma multiforme: a review of therapeutic targets,"Glioblastoma is the commonest primary brain tumor, as well as the deadliest. Malignant  gliomas such as glioblastoma multiforme (GBM) present some of the greatest challenges in the",https://www.tandfonline.com/doi/abs/10.1517/14728220902942348,['present']
Advanced magnetic resonance imaging in glioblastoma: a review,"Glioblastoma,  glioblastoma is magnetic resonance imaging (MRI), which is a widely utilized  examination in the diagnosis and post-treatment management of patients with glioblastoma.",https://cco.amegroups.org/article/view/15820,['utilized']
Management of glioblastoma,Glioblastoma multiforme (GBM) are among the most devastating neoplasms claiming the  lives of patients within a median of 1 year after diagnosis. Treatment of GBM requires a,https://www.tandfonline.com/doi/abs/10.1517/14656566.8.18.3133,['claiming']
Glioblastoma multiforme in children,children with glioblastoma multiforme was significantly increased with steroid therapy.  Glioblastoma multiforme behaves similarly in children and adults. Intracranial glioblastomas have,https://thejns.org/view/journals/j-neurosurg/44/4/article-p442.xml,"['behaves', 'have', 'increased']"
Glioblastoma—treatment and obstacles,"Background: Glioblastoma is the most common and  Results: The standard of care for  glioblastoma is the maximum  In recurrent glioblastoma, it is necessary to balance the risks and",https://journals.viamedica.pl/rpor/article/view/90766,['balance']
Clonal evolution of glioblastoma under therapy,"Glioblastoma (GBM) is the most common and aggressive primary brain tumor. To better  understand how GBM evolves, we analyzed longitudinal genomic and transcriptomic data from",https://www.nature.com/articles/ng.3590,[]
Current surgical management of glioblastoma,"Surgical resection is a critical aspect of the management of a patient with a glioblastoma (GBM).  An intimate knowledge of the anatomy of a GBM, as well as familiarity with particular",https://journals.lww.com/journalppo/fulltext/2003/03000/Current_Surgical_Management_of_Glioblastoma.7.aspx,[]
Nanocarriers for the treatment of glioblastoma multiforme: current state-of-the-art,"Glioblastoma multiforme, a grade IV glioma, is the most frequently occurring and invasive  primary tumor of the central nervous system, which causes about 4% of cancer-associated-",https://www.sciencedirect.com/science/article/pii/S0168365916300797,"['occurring', 'causes']"
Glioblastoma clinical trials: current landscape and opportunities for improvement,of all glioblastoma trials and allowance for prior bevacizumab use in about two thirds of  recurrent glioblastoma trials. Our analysis also found that 47% of current glioblastoma clinical,https://aacrjournals.org/clincancerres/article-abstract/28/4/594/678102,"['use', 'found']"
Imaging glioblastoma multiforme,"Glioblastoma multiforme are infiltrative lesions that have a high degree of heterogeneity,  both within and between different patients. Imaging is critical for all phases in the evaluation",https://journals.lww.com/journalppo/fulltext/2003/03000/imaging_glioblastoma_multiforme.9.aspx,['have']
Glioblastoma multiforme (GBM): An overview of current therapies and mechanisms of resistance,"Glioblastoma multiforme (GBM) is a WHO grade IV glioma and the most common malignant,  primary brain tumor with a 5-year survival of 7.2%. Its highly infiltrative nature, genetic",https://www.sciencedirect.com/science/article/pii/S1043661821003649,[]
The p53 pathway in glioblastoma,Glioblastoma patients typically present with de novo grade IV lesions delineating primary  glioblastoma ( progress into grade IV lesions delineating secondary glioblastoma [12]. One of,https://www.mdpi.com/2072-6694/10/9/297,"['present', 'delineating', 'lesions']"
Current data and strategy in glioblastoma multiforme,"Glioblastoma multiforme (GBM) or astrocytoma grade Ⅳ on WHO classification is the most  aggressive and the most frequent of all primary brain tumors. Glioblastoma is multiforme,",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3019011/,[]
Extensive modulation of a set of microRNAs in primary glioblastoma,"glioblastoma multiforme, the most frequent and malignant of primary brain tumors. The analysis  of both glioblastoma tissues and glioblastoma  up-regulated in glioblastoma and from a",https://www.sciencedirect.com/science/article/pii/S0006291X05014816,['regulated']
A restricted cell population propagates glioblastoma growth after chemotherapy,"Glioblastoma multiforme is the most common primary malignant brain tumour, with a median  survival of about one year 1 . This poor prognosis is due to therapeutic resistance and",https://www.nature.com/articles/nature11287,[]
Novel delivery strategies for glioblastoma,"Brain tumors—particularly glioblastoma multiforme—pose an important public health problem  in the United States. Despite surgical and medical advances, the prognosis for patients",https://journals.lww.com/journalppo/FullText/2012/01000/Novel_Delivery_Strategies_for_Glioblastoma.14.aspx,['pose']
The EGFRvIII variant in glioblastoma multiforme,"Glioblastoma multiforme (GBM) is the most common brain tumour and has the worst  prognosis. Epidermal growth factor receptor (EGFR) gene amplification, mutation and re-",https://www.sciencedirect.com/science/article/pii/S0967586809000460,['has']
Newly diagnosed glioblastoma: a review on clinical management,"Glioblastoma is an aggressive primary tumor of the central nervous system. This review will  focus on clinical developments and management of newly diagnosed disease, including a",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7278092/,[]
Glioblastoma multiforme: a review of its epidemiology and pathogenesis through clinical presentation and treatment,Glioblastoma multiforme (GBM) is one of the most malignant types of central nervous system  tumors. Despite advances in treatment modalities it remains largely incurable. The objective,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5563115/,[]
Molecular heterogeneity in glioblastoma: potential clinical implications,"IV astrocytoma, glioblastoma multiforme (GBM glioblastoma most commonly presents de  novo in elderly patients, typically with a short clinical history. In contrast, secondary glioblastoma",https://www.frontiersin.org/articles/10.3389/fonc.2015.00055/full,['presents']
A randomized trial of bevacizumab for newly diagnosed glioblastoma,Background Concurrent treatment with temozolomide and radiotherapy followed by maintenance  temozolomide is the standard of care for patients with newly diagnosed glioblastoma.,https://www.nejm.org/doi/abs/10.1056/NEJMoa1308573,"['diagnosed', 'followed']"
Current promising treatment strategy for glioblastoma multiform: A review,"Glioblastoma multiform (GBM) is a heterogeneous group of primary neoplasm resistant to  conventional therapies. Due to their infiltrative nature it not fully isolated by aggressive surgery,",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6661528/,[]
"An integrative model of cellular states, plasticity, and genetics for glioblastoma",and genetic diversity in glioblastoma. We find that malignant cells in glioblastoma exist in  four  The relative frequency of cells in each state varies between glioblastoma samples and is,https://www.cell.com/cell/fulltext/S0092-8674(19)30687-7?dgcid=raven_jbs_etoc_email,"['exist', 'varies', 'find']"
Toward precision medicine in glioblastoma: the promise and the challenges,"of genomic alterations in glioblastoma, targeted agents have  yielded limited clinical efficacy  in glioblastoma, focusing on issues  precision medicine to glioblastoma and the rationale for",https://academic.oup.com/neuro-oncology/article-abstract/17/8/1051/2324956,"['yielded', 'targeted', 'focusing']"
Diagnosis and management of glioblastoma: A comprehensive perspective,"Glioblastoma is the most common malignant brain tumor in  Despite advances in our  understanding of glioblastoma onset, we  For the past few years, the understanding of",https://www.mdpi.com/2075-4426/11/4/258,[]
Corticosteroids compromise survival in glioblastoma,of glioblastoma patient cohorts to determine the prognostic role of steroid administration. A  disease-relevant mouse model of glioblastoma  Cancer Genome Atlas glioblastoma dataset to,https://academic.oup.com/brain/article-abstract/139/5/1458/2468757,"['dataset', 'determine']"
Detection of glioblastoma in biofluids,The detection of glioblastoma (GBM) in biofluids offers potential advantages over existing  paradigms for the diagnosis and therapeutic monitoring of glial tumors. Biofluid-based,https://thejns.org/view/journals/j-neurosurg/129/2/article-p334.xml,"['offers', 'existing']"
Mechanisms of immunotherapy resistance: lessons from glioblastoma,"Glioblastoma (GBM) is the deadliest form of brain cancer, with a median survival of less than  2 years despite surgical resection, radiation, and chemotherapy. GBM’s rapid progression,",https://www.nature.com/articles/s41590-019-0433-y,[]
Advances in radiotherapy for glioblastoma,"External beam radiotherapy (RT) has long played a crucial role in the treatment of  glioblastoma. Over the past several decades, significant advances in RT treatment and image-",https://www.frontiersin.org/articles/10.3389/fneur.2017.00748/full,['played']
Nano-therapies for glioblastoma treatment,"Traditional anti-cancer treatments are inefficient against glioblastoma, which remains one of  the deadliest and most aggressive cancers. Nano-drugs could help to improve this situation",https://www.mdpi.com/2072-6694/12/1/242,['remains']
The role of hypoxia in glioblastoma invasion,"Glioblastoma multiforme (GBM), a grade IV astrocytoma, is the most common and deadly  type of primary malignant brain tumor, with a patient’s median survival rate ranging from 15 to",https://www.mdpi.com/2073-4409/6/4/45,['ranging']
A population-based study of glioblastoma multiforme,"Purpose: To describe (1) the use of surgery and radiotherapy (RT) in the treatment of patients  with glioblastoma (GBM) in Ontario, (2) survival, and (3) proportion of survival time spent in",https://www.sciencedirect.com/science/article/pii/S0360301601015723,"['spent', 'describe']"
Molecular heterogeneity of glioblastoma and its clinical relevance,lead to a new classification of glioblastoma tumors into subtypes with distinct  glioblastoma  molecular subgroups. Intra-tumor heterogeneity of molecular genetic profiles in glioblastoma,https://link.springer.com/article/10.1007/s12253-014-9833-3,['lead']
Mouse models of glioblastoma,"Glioblastoma is one of the most common malignant brain tumors. The prognosis for  deviations  from glioblastoma in situ, glioblastoma cell lines are poor models for glioblastoma (3, 10).",https://europepmc.org/article/nbk/nbk469985,[]
Novel therapies for glioblastoma,"Purpose of Review Glioblastoma (GBM) is the most common malignant primary brain tumor,  and the available treatment options are limited. This article reviews the recent preclinical",https://link.springer.com/article/10.1007/s11910-020-01042-6,[]
